YEAR,COUNTRY,RUNUP_HT,DEATHS,CAUSE,isTop10
2004,INDONESIA,30.5,0, ,True
2004,INDONESIA,30.6,0, ,True
2004,INDONESIA,34.7,0, ,True
1861,INDONESIA,0.0,200, ,True
2004,INDONESIA,35.7,0, ,True
2004,INDONESIA,15.42,0, ,True
2004,INDONESIA,40.2,0, ,True
2004,INDONESIA,18.06,0, ,True
2004,INDONESIA,50.6,0, ,True
2004,INDONESIA,2.1,0, ,True
2004,INDONESIA,5.9,0, ,True
2004,INDONESIA,34.25,0, ,True
2004,INDONESIA,6.0,0, ,True
2004,INDONESIA,2.9,0, ,True
2004,INDONESIA,28.61,0, ,True
2004,INDONESIA,6.0,0, ,True
2004,INDONESIA,3.1,0, ,True
1907,SRI LANKA,0.6,0, ,True
2004,INDONESIA,3.4,0, ,True
1907,SRI LANKA,2.1,0, ,True
2004,INDONESIA,3.5,0, ,True
2010,INDONESIA,0.44,0, ,True
2004,INDONESIA,6.0,0, ,True
2004,INDONESIA,6.2,0, ,True
2004,INDONESIA,6.3,0, ,True
2004,INDONESIA,6.3,0, ,True
2004,INDONESIA,6.5,0, ,True
2004,INDONESIA,19.7,0, ,True
2004,INDONESIA,6.6,0, ,True
2004,INDONESIA,19.7,0, ,True
2004,INDONESIA,6.6,0, ,True
2004,INDONESIA,17.1,0, ,True
2004,INDONESIA,6.6,0, ,True
2004,INDONESIA,17.9,0, ,True
2004,INDONESIA,6.7,0, ,True
2004,INDONESIA,16.7,0, ,True
2004,INDONESIA,15.7,0, ,True
2004,INDONESIA,6.8,0, ,True
2004,INDONESIA,16.5,0, ,True
2004,INDONESIA,6.8,0, ,True
2004,INDONESIA,6.9,0, ,True
2004,INDONESIA,7.0,0, ,True
2004,INDONESIA,7.1,0, ,True
2004,INDONESIA,7.1,0, ,True
2004,INDONESIA,7.1,0, ,True
2004,INDONESIA,31.0,0, ,True
2004,INDONESIA,3.6,0, ,True
2004,INDONESIA,3.7,0, ,True
2004,INDONESIA,4.0,0, ,True
2004,INDONESIA,4.0,0, ,True
2004,INDONESIA,4.1,0, ,True
2004,INDONESIA,4.5,0, ,True
2004,INDONESIA,4.5,0, ,True
2004,INDONESIA,4.6,0, ,True
2004,INDONESIA,4.6,0, ,True
2004,INDONESIA,4.7,0, ,True
2004,INDONESIA,4.9,0, ,True
2004,INDONESIA,4.9,0, ,True
2004,INDONESIA,4.9,0, ,True
2004,INDONESIA,5.0,0, ,True
2004,INDONESIA,5.1,0, ,True
2004,INDONESIA,11.2,0, ,True
2004,INDONESIA,12.3,0, ,True
2004,INDONESIA,12.5,0, ,True
2004,INDONESIA,12.6,0, ,True
2004,INDONESIA,7.2,0, ,True
2004,SRI LANKA,6.0,0, ,True
